num_of_bachelors,num_of_associates,income,cost,ROI
64.0,149.0,73460210.4250371,1570500.0,45.77504643428023
132.0,13.0,60593264.81407251,1710000.0,34.434657786007314
24.0,229.0,76531208.704281,1503000.0,49.91896786711976
43.0,191.0,73264759.35692728,1570500.0,45.65059494232873
9.0,259.0,71872432.63838005,1300500.0,54.26523078691277
40.0,197.0,71964511.15747532,1431000.0,49.28966537908828
19.0,239.0,73235457.47769113,1390500.0,51.66843400049704
130.0,17.0,61622157.69574896,1597500.0,37.574120623317036
118.0,41.0,71349662.66292827,1755000.0,39.65507844041497
132.0,13.0,63168920.18713994,1669500.0,36.83702916270737
26.0,225.0,75451736.3865302,1534500.0,48.170242024457615
133.0,11.0,66127850.84801776,1719000.0,37.46879048750306
30.0,217.0,77121857.99921995,1512000.0,50.00651984075394
119.0,39.0,66990355.84399917,1710000.0,38.17564669239717
7.0,263.0,80414129.93946846,1557000.0,50.646840038194256
88.0,101.0,71857188.76060706,1719000.0,40.80173866236595
136.0,5.0,63274107.86703716,1714500.0,35.90528309538475
31.0,215.0,74642254.7792398,1498500.0,48.81131450066053
8.0,261.0,78355247.3979558,1525500.0,50.36364955618211
62.0,153.0,66324511.23486178,1390500.0,46.69831804017388
104.0,69.0,60550682.165193744,1539000.0,38.34417294684454
57.0,163.0,68593116.01682885,1449000.0,46.33824431803233
58.0,161.0,72862622.61483207,1561500.0,45.66194211644705
2.0,273.0,77804229.46068904,1426500.0,53.542046590037884
66.0,145.0,72977288.41699837,1534500.0,46.55769854480181
134.0,9.0,64688872.72830368,1800000.0,34.938262626835375
82.0,113.0,65393935.322845936,1539000.0,41.4911860447342
79.0,119.0,67064879.26014805,1485000.0,44.16153485531855
27.0,223.0,75795474.86707255,1530000.0,48.53952605691016
121.0,35.0,63156891.31814714,1602000.0,38.423777352151774
81.0,115.0,62842947.12290018,1422000.0,43.1933524071028
30.0,217.0,76471806.62440087,1534500.0,48.834999429391246
115.0,47.0,73899021.41028725,1764000.0,40.89286928020819
69.0,139.0,69841922.12255713,1570500.0,43.47113793222358
114.0,49.0,62899082.21428462,1579500.0,38.82214765070251
49.0,179.0,69436785.59078956,1422000.0,47.83036961377606
121.0,35.0,58793421.74134089,1552500.0,36.870158931620544
125.0,27.0,67067432.14499578,1719000.0,38.01537646596613
95.0,87.0,68606307.10770738,1530000.0,43.84072359980875
45.0,187.0,75704433.32163772,1588500.0,46.657811345066236
