num_of_bachelors,num_of_associates,income,cost,ROI
2.0,273.0,122925784.62324817,1971000.0,61.36721695750795
15.0,247.0,118046911.15925793,1944000.0,59.723719732128565
64.0,149.0,109076808.20246117,2070000.0,51.694110242734865
61.0,155.0,108448447.67295289,2016000.0,52.793872853647265
133.0,11.0,90981551.19416988,2029500.0,43.82953988379891
128.0,21.0,89873136.84430411,1962000.0,44.806899512897104
91.0,95.0,97994782.59918413,1966500.0,48.83207861641705
31.0,215.0,115973342.34256557,1993500.0,57.17574233386785
1.0,275.0,123412814.0152774,2020500.0,60.08033358835803
73.0,131.0,108156802.45506567,1989000.0,53.37747735297419
54.0,169.0,110186553.48253517,1930500.0,56.076691780645
101.0,75.0,101907106.00837736,2061000.0,48.44546628257029
51.0,175.0,114642063.14937523,2079000.0,54.142887517737
47.0,183.0,116549794.01706173,2115000.0,54.10628558726323
73.0,131.0,104380768.58370253,2038500.0,50.20469393362891
124.0,29.0,95471412.4583278,2079000.0,44.921795314250986
48.0,181.0,108882185.66215108,1926000.0,55.532806678167745
38.0,201.0,112484395.16693135,1989000.0,55.553240405697004
19.0,239.0,120421923.47790748,2029500.0,58.33575928943458
11.0,255.0,121991053.18544029,2016000.0,59.51143511182554
66.0,145.0,109335551.1037664,2007000.0,53.477105681996214
24.0,229.0,118150749.96319939,2011500.0,57.73763358846602
10.0,257.0,121189833.04797404,1989000.0,59.930031698327824
44.0,189.0,117151385.0861913,2070000.0,55.59487202231464
3.0,271.0,122948518.95166427,1980000.0,61.09521159174963
20.0,237.0,118597038.3007034,1989000.0,58.626464706236
16.0,245.0,118849422.45255847,1962000.0,59.57564854870463
131.0,15.0,93673387.02235319,2074500.0,44.15468162080173
118.0,41.0,91029792.44965255,2029500.0,43.85330990374602
28.0,221.0,117603051.18433031,1989000.0,58.126722566279696
57.0,163.0,111230064.82417126,2029500.0,53.80663455243718
25.0,227.0,114790131.98121871,1971000.0,57.239539310613246
119.0,39.0,91804548.4478504,2016000.0,44.53797046024326
119.0,39.0,89318833.05816531,1971000.0,44.31650586411229
78.0,121.0,105699666.69679324,1980000.0,52.38367004888548
23.0,231.0,116300109.41269496,1993500.0,57.33965859678704
65.0,147.0,109063878.74707292,1975500.0,54.20824031742492
8.0,261.0,123331147.63659243,2052000.0,59.10289845837838
9.0,259.0,122208447.08190641,2038500.0,58.95018252730263
113.0,51.0,95881582.67518036,2016000.0,46.560308866656925
83.0,111.0,104689843.72590424,2070000.0,49.57480373232089
124.0,29.0,102987520.08352293,2101500.0,48.006671464916934
13.0,251.0,121462113.55489255,2007000.0,59.519239439408345
66.0,145.0,108022195.45251451,2029500.0,52.22601401947007
41.0,195.0,113842328.6279259,1998000.0,55.97814245641937
88.0,101.0,100370480.58895577,2007000.0,49.0102045784533
106.0,65.0,99557781.40240368,2142000.0,45.478889543605824
24.0,229.0,119352834.28942414,2025000.0,57.93967125403661
